Student_ID,Age,Gender,Department,Year,Hours_Studied,Attendance,Previous_Marks,Assignment_Score,Internal_Marks,Quiz_Score,Practical_Score,Study_Hours_Per_Day,Sleep_Hours,Class_Participation,Internet_Usage,Final_Marks,Passed
S0890,19,Female,ME,2,3.0,68.8,47.2,69.1,80.5,61.8,59.8,0.3,6.3,Medium,3.5,36.0,0
S0071,22,Female,IT,4,8.8,89.7,79.8,82.2,83.1,91.6,67.4,5.7,7.2,High,2.3,72.3,1
S1609,19,Female,ECE,2,3.5,79.3,69.3,53.5,62.5,67.1,60.4,1.5,6.9,Medium,3.0,50.4,1
S1533,21,Male,ME,1,2.3,55.8,85.3,72.1,65.3,57.2,72.3,2.0,7.1,Medium,5.6,62.5,1
S0248,24,Female,CSE,4,9.1,88.2,67.8,82.6,72.3,58.7,77.4,2.4,7.0,Medium,4.4,56.1,1
S1451,20,Male,IT,3,5.7,69.7,63.8,93.7,73.4,52.1,79.3,3.9,6.9,High,1.9,46.2,1
S0213,21,Male,ECE,2,4.8,75.9,61.0,67.9,64.2,53.5,74.4,2.3,7.4,High,3.9,48.5,1
S0910,20,Male,ECE,2,4.0,66.4,49.8,60.9,63.0,39.2,62.4,1.3,6.5,Low,6.1,46.5,1
S1742,22,Female,ECE,1,5.1,93.9,76.4,89.6,64.6,71.6,75.7,3.1,9.7,Low,3.3,59.1,1
S1245,22,Female,EEE,2,2.1,75.0,69.2,66.6,75.7,76.4,61.8,2.1,8.7,Low,0.5,43.4,1
S1697,18,Female,ECE,2,9.2,90.5,88.9,74.9,97.6,79.8,86.4,5.1,4.6,Medium,0.5,67.5,1
S1183,21,Male,CSE,4,2.3,60.2,45.2,73.5,68.0,63.8,67.9,2.4,6.9,Low,3.7,40.8,1
S0362,21,Male,ME,2,0.5,30.0,42.8,43.4,32.7,17.5,43.3,0.3,6.1,Low,2.7,30.8,0
S1474,20,Female,ME,2,4.7,70.6,85.1,81.4,70.6,63.3,83.6,1.5,7.6,Medium,4.4,52.3,1
S0679,24,Male,ME,3,0.5,30.0,43.1,50.7,54.2,71.0,51.3,0.3,7.9,Medium,2.1,19.9,0
S1622,18,Male,AIML,3,12.1,79.5,89.2,75.4,76.1,81.2,75.1,5.3,9.2,Medium,3.1,65.1,1
S1090,19,Male,CSE,1,5.4,78.3,77.6,77.7,69.9,74.7,57.4,3.2,7.1,Medium,3.9,58.1,1
S1988,20,Male,AIML,2,3.4,41.2,31.5,59.7,33.2,62.0,42.2,2.1,7.8,Low,4.3,35.9,0
S1848,19,Female,EEE,2,3.9,51.1,52.2,64.1,39.2,45.3,57.2,0.3,6.1,Low,6.7,46.2,1
S0988,20,Male,ME,2,5.8,97.1,70.8,53.5,69.2,66.7,77.6,3.0,5.5,High,3.1,52.2,1
S1513,24,Female,Civil,1,4.4,81.8,63.3,72.1,56.8,67.1,56.4,2.8,5.7,Medium,3.3,49.5,1
S0112,19,Male,ECE,2,7.1,69.1,69.7,53.3,55.3,51.4,62.8,2.1,4.3,Medium,5.5,54.7,1
S1488,21,Male,ME,4,6.8,94.4,72.3,63.6,77.1,80.6,80.1,2.2,7.0,High,0.5,52.9,1
S1454,21,Male,IT,3,3.0,89.6,74.1,51.2,60.0,55.9,64.0,1.4,5.2,Medium,4.1,47.7,1
S0384,23,Male,ECE,1,9.1,62.7,67.8,65.8,74.0,47.0,66.5,3.2,8.2,Low,3.3,57.3,1
S1396,22,Female,IT,1,3.7,39.1,50.2,48.1,41.5,48.5,62.7,0.3,6.6,Low,5.4,44.7,1
S1055,25,Female,IT,2,4.2,76.4,72.9,48.6,75.5,69.0,83.9,1.6,4.4,High,3.1,45.6,1
S0756,22,Male,Civil,2,2.0,62.9,61.6,62.8,67.2,52.6,57.0,0.3,6.4,Medium,2.6,34.0,0
S0325,24,Female,EEE,1,5.4,93.4,64.8,56.8,53.0,45.2,69.0,2.2,7.3,Medium,1.2,51.5,1
S1624,24,Female,EEE,3,4.8,80.2,66.1,71.4,77.3,58.5,69.2,2.4,5.0,Medium,7.5,46.1,1
S0788,20,Male,Civil,4,11.7,100.0,69.1,50.2,51.7,47.5,67.7,0.6,7.8,Medium,2.4,58.7,1
S0369,19,Male,CSE,2,5.1,85.0,76.2,52.9,73.2,84.0,70.1,3.1,5.9,Medium,1.5,43.7,1
S1820,20,Male,ECE,3,1.2,56.8,43.3,50.3,48.8,52.6,45.8,0.3,9.3,Low,3.6,35.3,0
S0070,25,Male,Civil,1,3.9,66.8,52.3,65.2,55.9,71.3,65.5,1.1,7.3,Low,4.0,47.9,1
S0858,20,Male,AIML,2,6.7,90.6,68.5,60.7,48.7,53.8,61.5,2.3,5.0,Low,3.7,59.7,1
S1484,18,Female,EEE,2,7.7,75.7,65.6,68.3,85.0,48.5,52.7,2.0,5.4,High,3.7,44.1,1
S1556,19,Female,EEE,2,1.6,74.7,48.0,60.5,54.4,68.6,70.9,3.8,8.0,Low,2.4,44.6,1
S1692,20,Male,CSE,4,3.5,70.6,61.3,79.9,82.1,61.9,80.7,2.9,6.3,Medium,1.5,62.7,1
S1475,20,Female,CSE,2,6.3,65.9,80.1,83.5,84.6,61.6,74.4,5.7,6.0,Medium,1.1,55.2,1
S1799,18,Male,AIML,1,0.5,30.0,44.5,28.6,25.0,21.9,41.9,0.3,7.1,Low,5.3,40.2,1
S0479,24,Male,ME,2,10.5,70.2,72.0,90.3,75.1,86.3,97.6,5.1,6.8,High,3.0,61.3,1
S0282,20,Male,EEE,3,5.1,30.0,48.6,55.9,45.2,32.0,55.5,0.3,7.8,Low,7.9,38.0,0
S1648,22,Male,EEE,1,6.2,56.5,74.8,68.8,66.1,50.7,69.1,4.6,8.1,High,1.0,40.6,1
S1557,21,Male,CSE,1,0.5,32.7,31.0,40.0,25.0,15.0,33.7,1.3,8.4,Low,4.7,31.4,0
S1730,21,Female,AIML,3,9.7,74.8,91.0,67.5,91.2,96.6,78.3,2.6,8.2,High,4.3,64.8,1
S0211,21,Female,CSE,2,2.1,61.6,55.2,56.1,59.2,61.4,56.7,0.3,7.4,Low,3.9,34.4,0
S0298,19,Male,CSE,1,10.1,97.6,88.7,80.4,73.0,83.9,77.2,5.0,5.0,High,2.9,59.8,1
S1885,19,Female,ECE,1,7.2,84.0,58.8,80.5,76.6,62.9,81.9,2.7,6.2,High,4.7,66.9,1
S1834,22,Male,IT,4,5.9,76.2,57.1,50.7,61.0,52.7,68.4,2.2,5.9,Low,5.0,44.1,1
S0652,21,Male,EEE,4,0.5,68.1,49.4,74.9,61.2,61.2,41.7,0.6,6.2,Low,2.1,35.5,0
S1234,18,Male,IT,3,4.5,77.2,44.8,53.0,48.4,29.1,50.0,3.4,7.5,Low,3.7,39.4,0
S1503,18,Female,CSE,1,6.3,71.0,68.3,65.8,70.1,50.7,71.0,0.8,6.2,Medium,5.7,53.5,1
S1932,21,Male,IT,3,4.2,64.1,45.5,69.3,28.8,46.2,57.1,1.5,6.9,Low,0.5,44.9,1
S0917,19,Female,IT,2,1.8,67.0,40.4,50.7,58.8,36.8,59.0,1.2,6.5,Low,1.9,30.3,0
S0994,21,Male,ME,1,6.5,51.0,48.6,68.2,47.5,61.2,50.6,1.9,8.0,Low,5.4,36.6,0
S0430,18,Female,EEE,3,4.1,65.8,50.3,53.3,46.1,51.4,48.4,0.9,6.9,Low,2.0,33.9,0
S1371,24,Male,IT,3,11.8,58.8,58.1,73.6,68.6,63.2,75.3,1.6,8.1,High,3.1,52.3,1
S0240,19,Male,IT,4,0.5,42.3,25.0,48.6,38.1,29.1,36.8,0.8,6.8,Low,2.3,28.5,0
S0880,19,Male,Civil,1,1.1,61.8,54.8,65.8,46.2,59.9,65.5,0.3,7.8,Low,6.3,43.5,1
S0621,19,Female,Civil,1,4.5,99.2,58.8,79.6,56.1,56.7,68.6,2.8,7.7,Medium,2.1,49.0,1
S0257,23,Male,AIML,3,3.6,78.9,71.1,82.4,94.2,67.2,79.6,1.9,8.1,High,4.0,55.6,1
S0612,22,Male,CSE,3,14.7,93.1,80.7,77.8,66.9,76.4,57.8,3.5,6.9,High,6.4,75.5,1
S0545,21,Male,IT,2,9.6,89.6,61.1,64.4,67.1,75.0,63.4,3.2,8.8,High,3.2,50.7,1
S0772,22,Male,IT,4,8.8,87.1,91.8,76.5,73.2,77.7,82.1,5.7,6.3,High,2.4,54.7,1
S1420,23,Male,IT,3,6.6,76.2,83.8,98.5,81.3,79.2,83.8,4.8,6.0,High,3.1,59.5,1
S1042,22,Female,ME,2,2.2,61.5,55.2,59.3,65.4,48.5,55.1,3.1,7.1,Medium,2.3,43.0,1
S1790,20,Female,CSE,3,6.2,65.1,63.7,69.7,66.2,71.5,75.8,4.3,6.4,High,5.4,46.7,1
S0760,22,Male,AIML,2,11.7,71.1,71.1,78.6,62.1,58.9,67.8,3.1,6.4,Medium,4.5,51.7,1
S0383,21,Female,ECE,1,2.6,51.7,71.1,90.9,64.3,69.1,63.0,1.4,8.1,Low,4.0,45.8,1
S1104,23,Male,IT,3,9.1,99.4,98.0,92.3,65.0,83.8,76.5,4.9,8.3,High,1.9,54.7,1
S0974,19,Female,ME,2,0.5,73.6,37.0,50.3,37.4,52.9,61.5,0.3,6.5,Medium,5.1,28.0,0
S0353,21,Female,IT,1,3.9,54.4,62.9,76.4,52.6,55.0,50.5,0.3,5.5,Low,5.3,48.3,1
S1606,20,Male,ME,3,3.1,45.2,80.3,65.8,63.2,71.6,50.3,1.7,6.3,Low,3.4,47.1,1
S1826,21,Male,IT,4,0.5,70.9,26.2,45.7,54.0,66.0,42.7,2.6,6.6,Low,1.7,38.0,0
S1037,20,Male,ME,1,2.9,100.0,63.5,74.1,58.9,66.1,58.6,1.9,7.5,High,3.4,41.6,1
S1108,22,Male,CSE,1,8.8,100.0,90.5,80.3,62.9,71.1,85.7,5.0,5.5,Medium,1.2,67.7,1
S0495,20,Male,EEE,4,6.1,65.7,78.4,71.1,73.4,59.4,91.2,5.4,6.5,High,2.0,42.9,1
S0394,22,Male,CSE,3,5.0,45.0,57.1,65.8,61.3,34.7,78.7,0.3,7.3,Medium,1.4,50.8,1
S1547,22,Male,CSE,4,3.6,34.5,47.1,60.7,56.7,55.4,65.8,2.9,7.8,Low,2.9,45.9,1
S0465,24,Female,ME,4,10.0,58.4,98.0,81.8,83.0,86.8,85.2,5.1,6.4,High,4.1,68.0,1
S0887,21,Male,IT,1,6.3,79.3,58.5,48.0,56.3,53.7,62.8,2.3,7.8,Medium,3.1,46.8,1
S1194,21,Male,AIML,1,4.3,65.2,45.6,64.7,51.3,46.7,56.2,2.7,5.9,Low,1.2,45.0,1
S0367,24,Male,CSE,2,7.0,77.5,71.5,71.4,79.8,51.4,76.9,2.2,7.4,Medium,4.5,44.8,1
S1894,19,Male,CSE,2,6.6,90.6,81.1,74.5,72.5,69.4,64.8,2.4,4.5,Medium,3.0,64.0,1
S1874,22,Female,Civil,4,5.3,81.2,75.8,75.8,74.2,71.3,80.7,2.3,5.0,High,2.6,50.8,1
S0745,19,Female,CSE,2,7.8,91.1,74.7,70.6,68.0,60.6,63.6,1.7,9.0,Low,5.3,51.3,1
S0530,22,Female,CSE,4,1.3,66.7,47.8,64.8,48.5,36.9,55.7,0.6,6.9,Low,2.2,21.1,0
S0803,21,Female,Civil,1,7.2,88.4,62.3,85.0,65.1,89.1,66.1,3.8,3.5,High,4.8,46.1,1
S1224,23,Male,IT,2,4.7,66.9,45.3,70.3,73.0,53.8,65.5,2.7,7.5,Medium,4.3,36.7,0
S1979,23,Male,ECE,3,0.5,94.9,62.0,40.1,53.6,65.8,64.4,0.4,8.2,Low,3.5,47.5,1
S1906,19,Male,ME,4,0.7,60.9,29.2,50.2,34.3,29.5,54.7,0.3,7.3,Low,5.9,38.6,0
S1700,21,Male,IT,2,3.1,41.5,53.7,52.5,61.0,53.4,56.5,1.7,5.7,Medium,2.2,28.8,0
S1545,24,Female,ME,1,2.6,74.7,53.8,49.4,46.6,50.3,51.2,0.5,8.9,Medium,4.0,44.4,1
S1314,22,Male,AIML,2,2.5,72.1,52.6,45.3,63.9,40.1,52.0,1.8,6.8,Medium,3.1,27.2,0
S0307,20,Male,ECE,2,0.5,77.3,30.2,55.2,66.9,55.6,53.1,1.0,5.9,Low,5.0,40.4,1
S1667,19,Female,ME,3,1.4,72.1,58.3,49.7,71.3,49.9,56.4,1.2,4.8,Medium,4.9,40.3,1
S0863,21,Female,CSE,4,0.8,92.6,61.8,51.9,35.8,45.6,70.3,2.1,6.5,Low,7.4,46.1,1
S1567,21,Female,ME,4,3.7,62.5,51.4,40.3,59.9,21.2,48.0,1.0,7.6,Low,5.1,46.4,1
S0531,22,Female,IT,3,1.6,50.9,43.6,58.7,49.1,44.5,45.3,1.5,6.2,Low,5.3,39.3,0
S0655,20,Female,IT,1,3.5,45.1,53.8,85.7,67.4,59.5,65.0,2.3,4.9,Low,6.6,36.5,0
S1260,21,Female,Civil,2,2.5,43.6,41.1,70.7,49.0,62.7,42.2,0.8,6.3,Low,5.3,30.5,0
S0234,20,Female,AIML,1,2.9,66.1,80.1,74.4,76.6,63.7,95.4,1.4,5.9,High,2.9,45.2,1
S0121,22,Female,IT,1,4.9,87.8,74.5,67.3,90.7,82.3,96.9,3.5,7.3,High,1.4,64.9,1
S1698,19,Female,IT,3,10.1,84.6,95.8,100.0,72.3,90.7,93.6,5.5,6.0,High,2.6,71.6,1
S0950,21,Female,Civil,1,3.3,61.8,68.5,55.8,44.9,45.7,64.6,1.8,7.4,Low,5.8,39.3,0
S0618,19,Male,Civil,2,2.0,67.9,70.0,68.6,54.9,54.4,65.6,1.0,7.1,Medium,4.3,50.1,1
S1179,22,Female,ECE,1,9.5,69.5,65.3,65.8,45.0,46.8,65.1,1.6,7.0,Medium,0.8,57.2,1
S0308,20,Female,ME,2,6.1,65.7,58.7,55.0,66.7,42.9,79.3,4.4,8.5,Medium,4.2,37.6,0
S0136,20,Female,CSE,1,3.6,64.1,61.1,48.9,56.1,44.0,64.6,1.1,7.1,Low,4.6,35.0,0
S0555,23,Male,ECE,3,7.0,78.0,66.8,66.0,53.5,66.3,71.4,2.3,7.4,High,4.4,55.3,1
S1674,22,Male,IT,2,4.7,58.0,62.3,71.1,73.5,61.9,81.7,2.8,5.5,Low,0.5,41.9,1
S0584,20,Male,EEE,1,2.3,76.3,56.3,74.2,44.8,55.9,59.2,2.9,7.1,Low,2.1,50.1,1
S1641,21,Male,ECE,2,0.5,64.9,62.4,44.0,56.8,38.5,55.6,0.3,6.4,Low,1.3,45.9,1
S0671,19,Female,IT,2,8.8,100.0,81.9,92.0,86.1,82.5,87.4,6.2,8.4,High,2.1,75.0,1
S0835,20,Male,ECE,4,2.2,51.7,52.8,64.4,52.4,52.0,66.5,0.8,8.7,Medium,2.5,46.3,1
S0110,18,Female,ECE,4,2.8,73.1,70.8,63.9,68.3,56.6,67.7,1.5,7.7,High,7.5,51.7,1
S1165,19,Male,CSE,3,5.5,63.9,71.7,59.6,68.8,39.7,64.0,3.0,7.3,Medium,2.6,48.3,1
S1960,22,Male,EEE,1,8.7,91.5,93.4,85.1,95.5,70.3,95.0,5.4,6.8,Medium,3.3,71.8,1
S1465,25,Male,IT,2,9.1,100.0,98.0,100.0,98.9,90.0,90.0,5.4,6.0,High,4.8,68.3,1
S1729,22,Male,CSE,4,6.6,72.6,65.0,69.1,55.7,37.7,47.9,2.6,6.6,High,3.8,44.4,1
S1243,22,Female,ECE,1,8.3,87.1,89.4,64.1,82.4,81.6,66.3,2.6,5.7,Medium,4.0,54.8,1
S0212,21,Female,ECE,1,6.2,50.0,63.3,63.1,59.5,60.1,65.7,1.3,5.2,High,4.0,40.2,1
S1768,20,Male,CSE,2,1.6,86.9,55.1,60.0,52.1,55.2,74.9,2.6,5.4,Low,5.3,40.8,1
S1121,23,Male,IT,4,0.5,55.4,50.9,51.8,51.3,55.2,49.8,2.7,9.8,Medium,4.6,34.0,0
S0680,22,Male,ME,2,7.8,91.6,92.3,84.0,78.0,89.9,78.0,3.5,6.3,High,3.0,58.6,1
S1951,18,Male,CSE,4,0.5,80.2,43.3,36.5,43.4,16.5,43.0,0.4,9.2,Low,2.4,29.7,0
S1839,23,Female,ME,2,2.9,49.4,53.2,71.8,58.6,43.7,61.4,0.3,5.5,Medium,4.7,31.8,0
S0412,24,Male,CSE,2,7.7,50.4,63.7,61.9,85.0,70.4,78.2,4.4,7.4,Medium,3.0,51.1,1
S1325,24,Female,CSE,1,5.9,75.6,79.0,93.3,61.7,86.1,81.3,3.2,7.2,High,5.8,63.6,1
S0783,19,Female,ECE,2,3.7,85.5,71.4,56.1,53.8,60.7,66.1,0.3,7.1,Low,3.8,43.4,1
S1346,20,Female,ECE,1,4.6,95.7,89.3,91.1,73.5,93.0,84.4,4.2,10.1,High,1.6,62.7,1
S0875,18,Female,IT,4,7.1,89.7,89.8,77.8,82.9,88.8,82.1,3.9,6.9,High,4.1,56.3,1
S1653,19,Female,CSE,1,6.6,77.4,82.9,78.8,79.2,80.1,99.0,4.6,7.5,High,7.0,51.3,1
S1279,19,Male,AIML,3,7.8,84.6,91.7,93.6,68.7,70.1,98.4,3.7,6.0,High,2.9,54.2,1
S0786,23,Male,IT,4,0.5,48.8,56.4,25.9,47.2,34.6,47.0,1.0,9.8,Low,4.2,23.2,0
S1819,21,Female,AIML,4,0.8,98.0,98.0,86.2,69.1,91.7,76.9,4.9,5.7,High,5.0,63.2,1
S1199,22,Male,IT,4,10.0,99.9,83.0,98.5,86.0,93.5,85.4,4.3,6.6,High,3.4,62.8,1
S0808,23,Male,AIML,2,3.2,58.8,71.4,49.7,56.7,70.9,81.5,2.3,7.5,Medium,0.7,43.9,1
S0713,20,Male,CSE,3,2.4,80.5,57.1,64.5,47.2,68.0,57.3,3.0,7.5,Low,3.2,50.1,1
S1991,22,Male,CSE,3,4.6,96.3,65.5,82.2,82.2,55.7,81.0,3.1,7.0,High,5.2,49.7,1
S1660,20,Female,ME,3,9.6,92.1,77.2,79.6,76.0,77.8,84.3,5.0,5.6,High,0.7,58.6,1
S1191,18,Male,IT,3,2.8,67.7,51.3,62.4,57.8,54.1,66.1,1.4,6.7,Medium,3.0,41.1,1
S1226,21,Female,CSE,4,5.4,72.3,61.7,70.7,74.9,55.7,54.1,1.2,5.3,Low,3.7,38.5,0
S0603,19,Female,Civil,2,0.5,66.5,54.4,56.7,53.1,60.9,56.5,0.3,7.2,Medium,3.0,37.4,0
S0271,22,Male,ME,2,10.7,82.0,94.6,100.0,80.0,64.5,87.6,5.1,6.2,High,2.4,62.8,1
S1385,21,Male,ME,3,5.9,80.5,39.6,54.6,57.3,52.8,78.0,0.9,6.2,Low,5.1,46.5,1
S0232,20,Male,ECE,4,10.5,97.7,91.8,100.0,67.0,79.7,100.0,5.0,5.3,High,4.1,66.9,1
S0050,19,Male,CSE,4,1.5,39.7,44.5,40.1,50.0,52.8,59.0,2.2,8.9,Low,4.0,42.9,1
S0463,22,Female,AIML,4,0.5,66.7,34.8,39.8,49.1,41.7,31.8,2.0,8.6,Low,3.0,32.1,0
S1106,19,Male,CSE,1,4.0,100.0,68.3,75.2,59.6,58.8,75.2,3.2,8.0,Medium,4.0,60.7,1
S0856,19,Male,CSE,2,7.7,60.5,58.1,51.9,50.8,45.8,66.2,2.5,6.5,Low,5.5,44.0,1
S0694,19,Male,ECE,4,2.7,71.6,60.0,63.7,60.3,52.6,53.7,0.8,6.3,Medium,4.8,48.0,1
S1552,21,Male,IT,2,4.4,84.2,64.3,64.9,64.1,67.4,80.4,1.7,7.5,Medium,4.3,53.4,1
S1873,20,Male,ME,4,0.5,41.2,50.9,57.6,60.9,42.1,62.1,2.4,8.0,Low,4.0,18.8,0
S0527,20,Male,EEE,1,5.5,62.7,65.4,75.6,42.7,49.1,70.4,3.5,8.1,Medium,2.7,44.7,1
S0174,19,Female,ECE,4,9.7,64.1,65.8,71.8,82.7,69.0,67.2,3.7,7.5,Medium,6.0,57.6,1
S0721,23,Female,IT,4,3.0,75.2,46.4,63.9,56.2,57.2,74.8,3.3,7.9,Medium,0.8,46.8,1
S0415,21,Male,IT,1,7.0,85.2,82.4,86.2,73.3,47.3,87.0,3.3,5.9,Medium,1.8,50.3,1
S0238,18,Male,EEE,3,0.5,84.0,55.5,40.0,38.3,42.6,65.3,0.3,5.3,Low,3.3,37.6,0
S1473,23,Female,CSE,4,6.4,98.7,70.9,64.3,81.3,89.6,69.3,4.9,5.3,High,1.9,61.8,1
S1336,21,Female,AIML,1,0.5,64.4,71.8,53.1,63.0,52.7,69.6,1.4,6.2,Low,4.9,37.8,0
S1064,20,Female,IT,4,9.3,89.6,59.4,71.1,71.8,68.5,72.7,2.5,7.2,Low,2.5,59.8,1
S0024,20,Male,Civil,1,2.1,38.0,59.6,56.4,53.8,49.1,72.1,0.4,6.0,Low,4.2,35.5,0
S1767,22,Female,CSE,2,2.4,78.9,65.4,67.7,65.6,67.5,62.2,0.3,8.1,Low,7.2,39.9,0
S0064,20,Male,CSE,3,4.9,100.0,89.4,96.3,78.0,81.7,75.7,5.9,7.4,High,2.1,63.2,1
S0290,21,Male,EEE,2,5.5,53.0,33.0,64.1,33.8,29.7,56.9,0.3,7.3,Low,3.6,32.0,0
S0189,21,Female,ME,1,6.8,60.2,75.8,80.6,51.8,70.8,69.2,3.0,8.8,Medium,6.5,53.9,1
S0702,18,Female,CSE,3,1.9,79.0,42.5,62.8,56.2,52.6,74.5,3.2,7.0,Medium,2.1,49.0,1
S1815,18,Male,CSE,1,3.7,62.0,53.8,35.2,55.6,32.4,57.8,2.1,7.0,Low,4.4,41.9,1
